,figi,ticker,name,yarly_mean_profiit,risk
0,BBG000VJ5YR4,GLDRUB_TOM,Золото,0.7362685662321915,0.29434785675514213
1,BBG000VHQTD1,SLVRUB_TOM,Серебро,0.6059877622377622,0.27559591428701313
