"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
IMOEX;Индекс МосБиржи;2012-11-01;1425.71;1432.39;1407.46;1430.91;34343893983;;
IMOEX;Индекс МосБиржи;2012-11-02;1430.92;1444.38;1428.78;1440.25;30959821709;;
IMOEX;Индекс МосБиржи;2012-11-06;1440.25;1450.83;1436.61;1446.46;23966724318;;
IMOEX;Индекс МосБиржи;2012-11-07;1446.39;1453.47;1422;1423.36;28112675476;;
IMOEX;Индекс МосБиржи;2012-11-08;1423.36;1424.31;1395.46;1407.79;36847449420;;
IMOEX;Индекс МосБиржи;2012-11-09;1407.79;1408.28;1392.8;1401.32;27324216785;;
IMOEX;Индекс МосБиржи;2012-11-12;1401.19;1410.83;1394.49;1407.9;20237560212;;
IMOEX;Индекс МосБиржи;2012-11-13;1407.9;1409.03;1370.36;1373.83;33346187222;;
IMOEX;Индекс МосБиржи;2012-11-14;1373.84;1382.07;1360.07;1372.19;30603059462;;
IMOEX;Индекс МосБиржи;2012-11-15;1372.19;1387.67;1364.36;1386.25;24307279388;;
IMOEX;Индекс МосБиржи;2012-11-16;1386.25;1388.9;1375.06;1383.66;22320982567;;
IMOEX;Индекс МосБиржи;2012-11-19;1383.65;1400.76;1383.09;1398.57;21368943358;;
IMOEX;Индекс МосБиржи;2012-11-20;1398.57;1402.73;1389.47;1396.39;19234505235;;
IMOEX;Индекс МосБиржи;2012-11-21;1396.39;1408.13;1389.06;1405.7;21425755712;;
IMOEX;Индекс МосБиржи;2012-11-22;1405.7;1411.91;1401.57;1402.64;18457578746;;
IMOEX;Индекс МосБиржи;2012-11-23;1402.64;1414.05;1401.44;1413.15;24491160389;;
IMOEX;Индекс МосБиржи;2012-11-26;1413.15;1417.53;1399.61;1403.94;20959840882;;
IMOEX;Индекс МосБиржи;2012-11-27;1403.94;1412.86;1392.28;1394.87;22704126075;;
IMOEX;Индекс МосБиржи;2012-11-28;1394.85;1395.54;1379.46;1380.94;26369538150;;
IMOEX;Индекс МосБиржи;2012-11-29;1380.94;1396.37;1378.7;1388.31;25876268755;;
IMOEX;Индекс МосБиржи;2012-11-30;1388.31;1411.21;1384.18;1405.97;47176916368;;
IMOEX;Индекс МосБиржи;2012-12-03;1405.97;1422.2;1403.7;1421.97;25591120988;;
IMOEX;Индекс МосБиржи;2012-12-04;1421.94;1421.94;1407.84;1411.83;22964777515;;
IMOEX;Индекс МосБиржи;2012-12-05;1411.84;1441.45;1411.83;1435.97;36233754689;;
IMOEX;Индекс МосБиржи;2012-12-06;1435.96;1449.44;1434.35;1438.54;28922217283;;
IMOEX;Индекс МосБиржи;2012-12-07;1438.54;1443.97;1427.85;1441.47;24297788435;;
IMOEX;Индекс МосБиржи;2012-12-10;1441.47;1455.2;1438.51;1447.72;24307094945;;
IMOEX;Индекс МосБиржи;2012-12-11;1447.72;1453.18;1441.68;1448.43;25977992998;;
IMOEX;Индекс МосБиржи;2012-12-12;1448.36;1469.45;1448.33;1466.51;26923841979;;
IMOEX;Индекс МосБиржи;2012-12-13;1466.5;1472.01;1454.64;1462.87;28334376648;;
IMOEX;Индекс МосБиржи;2012-12-14;1462.87;1471.2;1460.51;1466.15;21172368043;;
IMOEX;Индекс МосБиржи;2012-12-17;1466.16;1470.27;1458.44;1469.53;27898399396;;
IMOEX;Индекс МосБиржи;2012-12-18;1469.53;1486.57;1467.26;1481.54;31593244016;;
IMOEX;Индекс МосБиржи;2012-12-19;1481.54;1487.46;1477.03;1478.83;27054046959;;
IMOEX;Индекс МосБиржи;2012-12-20;1478.81;1488.6;1468.9;1488.22;28576297081;;
IMOEX;Индекс МосБиржи;2012-12-21;1487.99;1490.51;1470.24;1477.44;27583166234;;
IMOEX;Индекс МосБиржи;2012-12-24;1477.44;1482.27;1471.47;1471.73;16993098660;;
IMOEX;Индекс МосБиржи;2012-12-25;1471.73;1475.08;1467.21;1473.53;9398289135;;
IMOEX;Индекс МосБиржи;2012-12-26;1473.53;1479.5;1471.17;1478.61;15805092335;;
IMOEX;Индекс МосБиржи;2012-12-27;1478.61;1482.35;1475.82;1478.24;16245274518;;
IMOEX;Индекс МосБиржи;2012-12-28;1478.22;1480.37;1472.55;1474.72;21547441217;;
IMOEX;Индекс МосБиржи;2013-01-08;1474.73;1517.88;1474.73;1514.82;28125592665;;
IMOEX;Индекс МосБиржи;2013-01-09;1514.82;1517.2;1510.61;1516.01;24568615387;;
IMOEX;Индекс МосБиржи;2013-01-10;1516.01;1518.41;1506.96;1507.16;21391418630;;
IMOEX;Индекс МосБиржи;2013-01-11;1507.16;1513.04;1503.38;1510.84;25937713627;;
IMOEX;Индекс МосБиржи;2013-01-14;1510.84;1529.57;1510.21;1528.48;29527731602;;
IMOEX;Индекс МосБиржи;2013-01-15;1528.48;1528.48;1515.16;1515.25;28128871450;;
IMOEX;Индекс МосБиржи;2013-01-16;1515.25;1517.34;1507.33;1514.86;26762399689;;
IMOEX;Индекс МосБиржи;2013-01-17;1514.86;1524.94;1513.62;1523.74;28742401455;;
IMOEX;Индекс МосБиржи;2013-01-18;1523.74;1542.11;1523.73;1540.55;32083659514;;
