,figi,ticker,name,sector,yarly_mean_profiit,risk
116,BBG004731032,LKOH,ЛУКОЙЛ,energy,0.8023404255319149,0.2953045406084954
117,BBG000RK52V1,OGKB,Вторая генерирующая компания оптового рынка электроэнергии,utilities,0.2553504240555125,0.2633006076472137
118,BBG000VFX6Y4,GLTR,Globaltrans Investment PLC,industrials,1.135470527404343,0.3308799844077045
119,BBG002B9T6Y1,KAZTP,КуйбышевАзот - Акции привилегированные,materials,0.8911792905081496,0.2779904284647412
120,BBG004S68BR5,NMTP,НМТП,industrials,1.7632352941176472,0.3089016621032615
121,BBG000QFH687,TGKA,ТГК-1,utilities,0.2978934324659231,0.2639098945255602
122,BBG0047315D0,SNGS,Сургутнефтегаз,energy,0.4879910213243547,0.3199195172666703
123,BBG009GSYN76,CBOM,МКБ,financial,0.1356437196173749,0.2483587750497647
124,BBG000RJWGC4,AMEZ,Ашинский метзавод,materials,2.430398796087284,0.3325648518653553
125,BBG000Q7GJ60,TGKBP,ТГК-2 - акции привилегированные,utilities,1.7798507462686566,0.3155704774386385
126,BBG002W2FT69,ABRD,АбрауДюрсо,consumer,0.6392837465564738,0.3503095906733467
127,BBG0027F0Y27,CNTLP,Центральный Телеграф - акции привилегированные,telecom,1.0768025078369907,0.3095560118315109
128,BBG004S68BH6,PIKK,ПИК,real_estate,0.1926620598881211,0.3045188390213744
129,BBG004731354,ROSN,Роснефть,energy,0.8590642395065442,0.3202503395162526
130,BBG004S68FR6,MTLRP,Мечел - Привилегированные акции,materials,1.012292118582791,0.2637509629973963
131,BBG004TC84Z8,TRMK,Трубная Металлургическая Компания,materials,2.454558527466206,0.3203031332391029
132,BBG000VKG4R5,MRKU,МРСК Урала,utilities,1.7519253910950665,0.3181816355550602
133,BBG000C7P5M7,MRKY,МРСК Юга,utilities,1.8998410174880764,0.2962306658377966
134,BBG002B2J5X0,KRKNP,Саратовский НПЗ - акции привилегированные,energy,0.308801923076923,0.2514113537889028
135,BBG00475K6C3,CHMF,Северсталь,materials,0.7118601115053217,0.3050200454423509
